token,token_URIs,passage_URIs,SENTENCE,synset_URIs
oppidum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0001666,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_13/Paragraphus_2,"Qui cum se suaque omnia in oppidum Bratuspantium contulissent atque ab eo oppido Caesar cum exercitu circiter milia passuum V abesset, omnes maiores natu ex oppido egressi manus ad Caesarem tendere et voce significare coeperunt sese in eius fidem ac potestatem venire neque contra populum Romanum armis contendere",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08683242-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0004142,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/SentenceLayer/Sentence_371,exire ex urbe prius quam lucescat volo,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08683242-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0001535,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_12/Paragraphus_2,"Ubi per exploratores Caesar certior factus est tres iam partes copiarum Helvetios id flumen traduxisse, quartam vero partem citra flumen Ararim reliquam esse, de tertia vigilia cum legionibus tribus e castris profectus ad eam partem pervenit quae nondum flumen transierat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0001694,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_13/Paragraphus_2,"Helvetii repentino eius adventu commoti cum id quod ipsi diebus XX aegerrime confecerant, ut flumen transirent, illum uno die fecisse intellegerent, legatos ad eum mittunt",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0001766,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_13/Paragraphus_5,"Quod improviso unum pagum adortus esset, cum ii qui flumen transissent suis auxilium ferre non possent, ne ob eam rem aut suae magnopere virtuti tribueret aut ipsos despiceret",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0002428,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_19/Paragraphus_7,"His facile pulsis ac proturbatis, incredibili celeritate ad flumen decucurrerunt, ut paene uno tempore et ad silvas et in flumine [et iam in manibus nostris] hostes viderentur",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0002795,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_23/Paragraphus_2,Ipsi transire flumen non dubitaverunt et in locum iniquum progressi rursus resistentes hostes redintegrato proelio in fugam coniecerunt,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0003412,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_27/Paragraphus_5,"ut non nequiquam tantae virtutis homines iudicari deberet ausos esse transire latissimum flumen, ascendere altissimas ripas, subire iniquissimum locum; quae facilia ex difficillimis animi magnitudo redegerat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG3.BPN_t_0001330,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_3/Capitulum_11/Paragraphus_2,"Huic mandat, Remos reliquosque Belgas adeat atque in officio contineat Germanosque, qui auxilio a Belgis arcessiti dicebantur, si per vim navibus flumen transire conentur, prohibeat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
flumen,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG4.BPN_t_0000556,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_4/Capitulum_4/Paragraphus_7,"His interfectis navibus eorum occupatis, prius quam ea pars Menapiorum quae citra Rhenum erat certior fieret, flumen transierunt atque omnibus eorum aedificiis occupatis reliquam partem hiemis se eorum copiis aluerunt",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
