URIs,passage_URIs
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000212,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_2/Paragraphus_1
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000212,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_10
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000613,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_1
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000613,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_25
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000655,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_3
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000655,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_26
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000696,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_4
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000696,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_27
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000713,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_6/Paragraphus_1
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000713,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_28
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000767,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_6/Paragraphus_2
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000767,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_29
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000820,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_6/Paragraphus_4
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000820,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_33
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000862,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_7/Paragraphus_1
